Images,ActualAge,ActualGender,Model_Pred_Gender,Model_Pred_Age,Model_Pred_Emotion,DeepFaceGender,DeepFaceEmotion,DeepFaceAge
"[[[225 214 208]
  [224 213 207]
  [223 212 206]
  ...
  [ 34  29  23]
  [ 34  29  25]
  [ 33  29  26]]

 [[226 215 209]
  [225 214 208]
  [224 213 207]
  ...
  [ 34  29  23]
  [ 34  29  25]
  [ 32  28  25]]

 [[227 216 210]
  [227 216 210]
  [226 215 209]
  ...
  [ 35  30  24]
  [ 34  29  25]
  [ 31  27  24]]

 ...

 [[ 54  60  58]
  [ 54  60  58]
  [ 53  59  57]
  ...
  [ 43  47  48]
  [ 41  45  46]
  [ 38  42  43]]

 [[ 53  59  57]
  [ 53  59  57]
  [ 52  58  56]
  ...
  [ 44  48  51]
  [ 41  45  48]
  [ 38  42  45]]

 [[ 53  59  57]
  [ 53  59  57]
  [ 52  58  56]
  ...
  [ 44  48  51]
  [ 41  45  48]
  [ 38  42  45]]]",51,Male,Male,59,sad,Male,neutral,29
"[[[55 31 21]
  [56 32 22]
  [57 33 23]
  ...
  [74 43 15]
  [78 48 20]
  [80 53 24]]

 [[57 33 23]
  [58 34 24]
  [59 35 25]
  ...
  [74 43 15]
  [78 48 20]
  [80 53 24]]

 [[60 36 26]
  [61 37 27]
  [62 38 28]
  ...
  [75 44 16]
  [79 49 23]
  [81 54 27]]

 ...

 [[51 60 67]
  [48 57 64]
  [43 54 60]
  ...
  [67 57 48]
  [67 57 48]
  [67 57 48]]

 [[47 58 64]
  [44 55 61]
  [40 51 57]
  ...
  [67 57 48]
  [67 57 48]
  [66 56 47]]

 [[46 57 63]
  [42 53 59]
  [38 49 55]
  ...
  [67 57 48]
  [67 57 48]
  [66 56 47]]]",67,Male,Male,51,sad,Male,happy,41
"[[[100  56  47]
  [ 97  53  44]
  [ 98  55  46]
  ...
  [154 111 105]
  [152 108 107]
  [146 105 103]]

 [[ 99  55  46]
  [ 96  52  43]
  [ 97  54  45]
  ...
  [153 110 104]
  [151 107 106]
  [144 103 101]]

 [[ 97  53  44]
  [ 95  51  42]
  [ 97  54  45]
  ...
  [153 110 104]
  [149 105 104]
  [142 101  99]]

 ...

 [[193 143 155]
  [193 143 155]
  [195 145 157]
  ...
  [209 161 161]
  [208 160 160]
  [207 159 159]]

 [[191 139 152]
  [191 141 153]
  [192 142 154]
  ...
  [211 161 164]
  [212 162 163]
  [213 163 164]]

 [[189 137 150]
  [190 138 151]
  [191 141 153]
  ...
  [209 157 161]
  [211 159 161]
  [213 161 163]]]",7,Male,Male,0,neutral,Male,neutral,25
"[[[162 125  98]
  [161 124  97]
  [165 128 101]
  ...
  [135  98  71]
  [132  95  68]
  [134  97  70]]

 [[165 128 101]
  [165 128 101]
  [168 131 104]
  ...
  [137 100  73]
  [132  95  68]
  [134  97  70]]

 [[170 133 106]
  [170 133 106]
  [173 136 109]
  ...
  [138 101  74]
  [133  96  69]
  [133  96  69]]

 ...

 [[200 227 244]
  [197 224 241]
  [193 220 237]
  ...
  [196 200 227]
  [198 202 229]
  [200 204 231]]

 [[203 226 244]
  [200 223 241]
  [194 220 235]
  ...
  [199 203 230]
  [202 206 233]
  [205 209 236]]

 [[202 223 242]
  [199 220 239]
  [194 217 233]
  ...
  [203 207 234]
  [208 212 239]
  [212 216 243]]]",4,Male,Male,0,happy,Male,sad,30
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [179 123 100]
  [179 123 100]
  [178 122  99]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [179 123 100]
  [178 122  99]
  [177 121  98]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [176 122  98]
  [175 121  97]
  [175 121  97]]

 ...

 [[  0   1   0]
  [  3   4   0]
  [  0   1   0]
  ...
  [ 58  49  44]
  [ 61  52  47]
  [ 63  54  49]]

 [[  7   7   5]
  [ 10  10   8]
  [  1   1   0]
  ...
  [ 52  43  38]
  [ 53  44  39]
  [ 53  44  39]]

 [[  0   0   0]
  [  3   3   1]
  [  2   2   0]
  ...
  [ 46  37  32]
  [ 44  35  30]
  [ 43  34  29]]]",38,Male,Male,36,neutral,Male,neutral,30
"[[[162 146 130]
  [160 144 128]
  [157 141 125]
  ...
  [191 174 128]
  [191 174 128]
  [191 174 128]]

 [[161 145 129]
  [159 143 127]
  [155 139 123]
  ...
  [191 174 128]
  [191 174 128]
  [191 174 128]]

 [[158 142 126]
  [156 140 124]
  [153 137 121]
  ...
  [191 174 128]
  [190 173 127]
  [190 173 127]]

 ...

 [[151 132 115]
  [153 136 120]
  [155 139 126]
  ...
  [178 184 182]
  [176 185 182]
  [175 186 180]]

 [[151 134 118]
  [153 137 122]
  [154 140 131]
  ...
  [180 186 186]
  [175 184 183]
  [173 184 180]]

 [[152 134 120]
  [154 138 125]
  [155 140 133]
  ...
  [181 186 189]
  [175 184 183]
  [172 182 181]]]",82,Female,Female,78,sad,Female,fear,44
"[[[32 30 35]
  [34 32 37]
  [36 34 37]
  ...
  [84 57 46]
  [86 56 45]
  [87 57 46]]

 [[30 28 33]
  [32 30 35]
  [35 33 36]
  ...
  [83 55 44]
  [85 55 44]
  [84 54 43]]

 [[28 26 29]
  [31 29 32]
  [33 31 34]
  ...
  [83 55 44]
  [83 53 43]
  [84 51 42]]

 ...

 [[16 16 24]
  [16 16 24]
  [16 16 24]
  ...
  [22 22 32]
  [22 22 32]
  [22 22 32]]

 [[16 16 24]
  [16 16 24]
  [16 16 24]
  ...
  [22 22 32]
  [22 22 32]
  [22 22 32]]

 [[16 16 24]
  [16 16 24]
  [16 16 24]
  ...
  [22 22 32]
  [23 23 33]
  [23 23 33]]]",35,Female,Female,35,happy,Female,happy,31
"[[[  7  51  36]
  [  7  49  35]
  [  7  45  32]
  ...
  [ 16 197 164]
  [ 18 196 164]
  [ 18 196 164]]

 [[  5  49  34]
  [  4  46  32]
  [  5  43  30]
  ...
  [ 16 197 164]
  [ 17 196 164]
  [ 18 196 164]]

 [[  3  45  31]
  [  2  43  29]
  [  3  39  29]
  ...
  [ 16 197 164]
  [ 17 196 164]
  [ 18 196 164]]

 ...

 [[ 51  60  59]
  [ 50  59  58]
  [ 47  57  56]
  ...
  [ 47 114 105]
  [ 47 114 105]
  [ 47 114 105]]

 [[ 49  59  58]
  [ 48  58  57]
  [ 46  56  55]
  ...
  [ 30  85  79]
  [ 32  87  81]
  [ 33  88  82]]

 [[ 49  59  58]
  [ 47  57  56]
  [ 46  56  55]
  ...
  [ 17  66  62]
  [ 20  69  65]
  [ 21  70  66]]]",50,Male,Male,47,sad,Male,neutral,33
"[[[ 10   8  11]
  [ 12  10  13]
  [ 11  11  11]
  ...
  [183 179 176]
  [197 196 194]
  [213 213 211]]

 [[ 10   8  11]
  [ 11   9  12]
  [ 10  10  12]
  ...
  [185 181 178]
  [198 197 195]
  [213 213 211]]

 [[ 10   8  13]
  [ 10   8  11]
  [  8   8  10]
  ...
  [188 184 181]
  [199 198 196]
  [210 210 208]]

 ...

 [[ 25  18   8]
  [ 20  13   3]
  [ 17  10   4]
  ...
  [206 179 149]
  [203 174 144]
  [200 171 141]]

 [[ 25  16   7]
  [ 19  12   2]
  [ 16   9   3]
  ...
  [207 180 150]
  [204 175 145]
  [200 171 141]]

 [[ 24  15   6]
  [ 19  10   1]
  [ 16   9   3]
  ...
  [207 180 150]
  [204 175 145]
  [200 171 141]]]",28,Female,Female,23,neutral,Male,happy,26
"[[[231 240 219]
  [231 240 219]
  [231 240 219]
  ...
  [109  74  52]
  [107  72  50]
  [105  70  48]]

 [[231 240 219]
  [231 240 219]
  [231 240 219]
  ...
  [110  75  53]
  [109  74  52]
  [107  72  50]]

 [[231 240 219]
  [231 240 219]
  [231 241 217]
  ...
  [112  77  55]
  [111  76  54]
  [110  75  53]]

 ...

 [[222 234 210]
  [222 234 210]
  [223 233 208]
  ...
  [185 152 109]
  [187 156 112]
  [188 157 113]]

 [[224 236 212]
  [223 235 211]
  [224 234 209]
  ...
  [187 155 114]
  [191 159 118]
  [193 161 120]]

 [[224 236 212]
  [224 236 212]
  [225 235 210]
  ...
  [189 157 116]
  [194 162 121]
  [197 165 124]]]",27,Female,Female,11,sad,Female,neutral,29
"[[[ 25  28  21]
  [ 33  36  29]
  [ 41  42  36]
  ...
  [253 253 251]
  [253 253 251]
  [253 253 251]]

 [[ 29  32  25]
  [ 36  39  32]
  [ 44  45  39]
  ...
  [253 253 251]
  [253 253 251]
  [253 253 251]]

 [[ 35  36  30]
  [ 42  43  37]
  [ 47  48  42]
  ...
  [252 252 250]
  [253 253 251]
  [254 254 252]]

 ...

 [[ 49  43  55]
  [ 85  79  91]
  [131 128 139]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 31  25  37]
  [ 56  50  62]
  [ 96  93 104]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 20  14  26]
  [ 35  29  41]
  [ 67  64  75]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",50,Male,Male,59,sad,Male,neutral,38
"[[[111  92  60]
  [ 79  60  28]
  [ 49  32   2]
  ...
  [190 185 153]
  [189 186 153]
  [189 186 153]]

 [[102  83  51]
  [ 74  55  23]
  [ 47  30   0]
  ...
  [190 185 153]
  [189 186 153]
  [189 186 153]]

 [[ 88  69  37]
  [ 66  47  15]
  [ 46  29   0]
  ...
  [189 186 151]
  [189 186 153]
  [189 186 153]]

 ...

 [[157 155 130]
  [156 154 129]
  [154 152 127]
  ...
  [155 159 134]
  [155 159 134]
  [155 159 134]]

 [[152 150 125]
  [151 149 124]
  [150 148 123]
  ...
  [155 159 134]
  [155 159 134]
  [155 159 134]]

 [[155 153 128]
  [154 152 127]
  [153 151 126]
  ...
  [155 159 134]
  [155 159 134]
  [155 159 134]]]",27,Male,Male,32,sad,Male,neutral,24
"[[[162 163 165]
  [163 164 166]
  [163 164 166]
  ...
  [221 156 128]
  [220 156 129]
  [220 156 131]]

 [[162 163 165]
  [163 164 166]
  [163 164 166]
  ...
  [223 158 130]
  [222 158 131]
  [221 157 132]]

 [[162 163 165]
  [163 164 166]
  [163 164 166]
  ...
  [227 162 134]
  [224 160 133]
  [222 158 133]]

 ...

 [[ 20  21  23]
  [ 20  21  23]
  [ 20  21  23]
  ...
  [ 28  29  31]
  [ 28  30  27]
  [ 30  32  27]]

 [[ 20  21  23]
  [ 20  21  23]
  [ 20  21  23]
  ...
  [ 29  31  30]
  [ 30  32  27]
  [ 34  37  30]]

 [[ 20  21  23]
  [ 20  21  23]
  [ 20  21  23]
  ...
  [ 31  33  32]
  [ 33  35  30]
  [ 37  40  33]]]",65,Male,Male,51,neutral,Male,happy,45
"[[[135 129 129]
  [135 129 129]
  [135 129 129]
  ...
  [ 95  75  66]
  [ 95  77  67]
  [ 94  77  67]]

 [[138 132 132]
  [137 131 131]
  [138 132 132]
  ...
  [ 95  75  66]
  [ 95  77  67]
  [ 95  78  68]]

 [[140 134 134]
  [140 134 134]
  [141 135 135]
  ...
  [ 95  75  64]
  [ 96  78  68]
  [ 97  79  69]]

 ...

 [[184 184 184]
  [184 184 184]
  [183 183 183]
  ...
  [154 158 183]
  [152 158 184]
  [151 157 183]]

 [[184 184 184]
  [185 185 185]
  [184 184 184]
  ...
  [152 156 185]
  [151 156 185]
  [150 155 184]]

 [[183 183 183]
  [185 185 185]
  [185 185 185]
  ...
  [152 156 185]
  [151 156 186]
  [150 155 185]]]",62,Male,Male,60,sad,Male,sad,39
"[[[21  5  8]
  [22  6  9]
  [22  7 10]
  ...
  [ 6  2  3]
  [ 8  2  2]
  [ 9  3  3]]

 [[22  6  9]
  [22  6  9]
  [22  7 10]
  ...
  [ 5  1  2]
  [ 7  1  1]
  [ 8  2  2]]

 [[22  6  9]
  [22  6  9]
  [22  7 10]
  ...
  [ 5  1  2]
  [ 6  0  0]
  [ 7  1  1]]

 ...

 [[11 12  7]
  [11 12  7]
  [11 12  7]
  ...
  [27  7  6]
  [28  7  6]
  [29  8  7]]

 [[11 12  7]
  [11 12  7]
  [11 12  7]
  ...
  [29 11  9]
  [28  8  7]
  [27  7  6]]

 [[11 12  7]
  [11 12  7]
  [11 12  7]
  ...
  [31 16 13]
  [31 11 10]
  [29  9  8]]]",26,Female,Female,26,neutral,Female,happy,30
"[[[133 111  90]
  [141 119  98]
  [151 126 104]
  ...
  [ 53  45  32]
  [ 51  43  32]
  [ 50  42  31]]

 [[135 113  92]
  [142 120  99]
  [151 126 104]
  ...
  [ 53  45  32]
  [ 52  44  33]
  [ 52  44  33]]

 [[136 114  93]
  [142 120  99]
  [150 125 103]
  ...
  [ 54  46  33]
  [ 53  45  34]
  [ 54  46  35]]

 ...

 [[245 227 241]
  [245 229 242]
  [246 230 241]
  ...
  [131 107 121]
  [143 119 133]
  [158 134 148]]

 [[249 233 244]
  [246 233 243]
  [246 233 243]
  ...
  [137 113 127]
  [149 125 139]
  [164 140 154]]

 [[250 237 247]
  [248 235 245]
  [247 235 245]
  ...
  [141 117 131]
  [153 129 143]
  [168 144 158]]]",2,Female,Male,0,neutral,Male,sad,22
"[[[ 41  23  21]
  [ 42  24  22]
  [ 42  27  24]
  ...
  [ 79  82  55]
  [ 85  88  59]
  [ 89  92  63]]

 [[ 42  24  22]
  [ 43  25  23]
  [ 43  28  25]
  ...
  [ 70  73  42]
  [ 76  79  48]
  [ 80  83  52]]

 [[ 42  24  22]
  [ 44  26  24]
  [ 44  29  26]
  ...
  [ 60  64  29]
  [ 67  71  36]
  [ 71  75  38]]

 ...

 [[152 152 164]
  [153 153 165]
  [153 155 170]
  ...
  [ 99 100  56]
  [106 107  63]
  [112 113  69]]

 [[156 156 168]
  [157 157 169]
  [156 158 173]
  ...
  [ 98  99  55]
  [103 104  60]
  [108 109  65]]

 [[160 160 172]
  [161 161 173]
  [161 163 178]
  ...
  [ 93  94  50]
  [ 96  97  53]
  [100 101  57]]]",57,Male,Male,43,sad,Male,happy,27
"[[[142  88  41]
  [144  90  43]
  [147  93  47]
  ...
  [164 130  92]
  [161 128  87]
  [159 126  85]]

 [[142  88  41]
  [145  91  44]
  [147  93  47]
  ...
  [165 131  93]
  [161 128  87]
  [159 126  85]]

 [[141  87  40]
  [144  90  43]
  [148  94  48]
  ...
  [166 132  94]
  [161 128  87]
  [159 126  85]]

 ...

 [[ 56  52  17]
  [ 55  51  16]
  [ 53  49  14]
  ...
  [157 138 124]
  [150 131 117]
  [146 127 113]]

 [[ 55  51  16]
  [ 53  49  14]
  [ 51  46  14]
  ...
  [156 137 123]
  [149 130 116]
  [145 126 112]]

 [[ 53  49  14]
  [ 52  48  13]
  [ 50  45  13]
  ...
  [155 136 122]
  [148 129 115]
  [145 126 112]]]",35,Female,Female,32,neutral,Female,happy,28
"[[[ 76  43  34]
  [ 75  42  33]
  [ 75  42  33]
  ...
  [185 190 193]
  [185 190 193]
  [185 190 193]]

 [[ 76  43  34]
  [ 76  43  34]
  [ 76  43  34]
  ...
  [184 189 192]
  [185 190 193]
  [185 190 193]]

 [[ 77  44  35]
  [ 76  43  34]
  [ 76  43  34]
  ...
  [184 189 192]
  [184 189 192]
  [185 190 193]]

 ...

 [[ 86  82  99]
  [ 87  83 100]
  [ 96  89 105]
  ...
  [ 87  51  37]
  [ 83  47  33]
  [ 79  43  29]]

 [[ 79  72  90]
  [ 76  69  87]
  [ 79  70  87]
  ...
  [ 91  54  38]
  [ 90  53  37]
  [ 88  51  35]]

 [[ 70  63  81]
  [ 67  60  78]
  [ 68  59  76]
  ...
  [ 92  53  36]
  [ 95  56  41]
  [ 95  56  41]]]",1,Male,Male,0,neutral,Male,sad,24
"[[[ 40  31  36]
  [ 42  33  38]
  [ 45  36  39]
  ...
  [178 163 144]
  [174 159 140]
  [172 157 138]]

 [[ 39  30  35]
  [ 42  33  38]
  [ 44  35  38]
  ...
  [176 161 142]
  [171 156 137]
  [169 154 135]]

 [[ 38  29  34]
  [ 41  32  37]
  [ 44  35  38]
  ...
  [174 158 142]
  [168 152 136]
  [165 149 133]]

 ...

 [[ 60  49  47]
  [ 58  47  45]
  [ 57  43  42]
  ...
  [184 169 146]
  [184 168 145]
  [183 167 142]]

 [[ 63  52  50]
  [ 61  50  48]
  [ 60  46  45]
  ...
  [184 169 146]
  [184 168 145]
  [183 167 142]]

 [[ 64  53  51]
  [ 62  51  49]
  [ 62  48  47]
  ...
  [184 169 146]
  [184 168 145]
  [183 167 142]]]",26,Male,Male,29,neutral,Male,sad,24
"[[[  0   2   0]
  [  0   2   0]
  [  1   2   0]
  ...
  [118  82  50]
  [121  80  50]
  [120  79  49]]

 [[  0   3   0]
  [  0   3   0]
  [  2   3   0]
  ...
  [118  82  50]
  [120  79  49]
  [120  79  49]]

 [[  1   3   0]
  [  1   3   0]
  [  2   3   0]
  ...
  [117  81  49]
  [120  79  49]
  [120  79  49]]

 ...

 [[227 166 119]
  [227 166 119]
  [226 165 118]
  ...
  [ 84  62  39]
  [ 85  60  38]
  [ 85  60  38]]

 [[227 166 119]
  [226 165 118]
  [226 165 118]
  ...
  [ 84  62  39]
  [ 85  60  38]
  [ 85  60  38]]

 [[227 166 119]
  [226 165 118]
  [226 165 118]
  ...
  [ 84  62  39]
  [ 85  60  38]
  [ 84  59  37]]]",25,Female,Female,28,neutral,Male,sad,22
"[[[ 51  48  69]
  [ 50  47  68]
  [ 49  46  67]
  ...
  [130  75  70]
  [133  74  68]
  [133  74  66]]

 [[ 51  48  69]
  [ 50  47  68]
  [ 49  46  67]
  ...
  [130  75  70]
  [132  75  68]
  [133  74  66]]

 [[ 51  48  69]
  [ 50  47  68]
  [ 49  46  67]
  ...
  [130  75  70]
  [132  75  68]
  [133  74  66]]

 ...

 [[ 36  41  61]
  [ 41  46  66]
  [ 46  51  73]
  ...
  [ 23  26  43]
  [ 22  25  42]
  [ 22  25  42]]

 [[ 38  43  62]
  [ 42  47  66]
  [ 45  50  70]
  ...
  [ 22  25  42]
  [ 22  25  42]
  [ 22  25  42]]

 [[ 39  44  63]
  [ 42  47  66]
  [ 45  50  70]
  ...
  [ 22  25  42]
  [ 22  25  42]
  [ 22  25  42]]]",54,Female,Female,39,sad,Male,sad,31
"[[[173 135 114]
  [175 137 116]
  [179 138 118]
  ...
  [  2  18   5]
  [  2  19   3]
  [  2  19   3]]

 [[173 135 114]
  [175 137 116]
  [179 138 118]
  ...
  [  1  17   4]
  [  2  19   3]
  [  2  19   3]]

 [[173 135 114]
  [175 137 116]
  [179 138 118]
  ...
  [  1  18   2]
  [  1  18   2]
  [  1  18   2]]

 ...

 [[139 118  87]
  [147 126  95]
  [158 132 105]
  ...
  [  0  18   3]
  [  1  22   7]
  [  3  26  10]]

 [[142 121  90]
  [150 129  98]
  [159 134 104]
  ...
  [  0  21   6]
  [  5  26  11]
  [  8  31  15]]

 [[144 123  92]
  [151 130  99]
  [161 136 106]
  ...
  [  2  23   8]
  [  9  30  15]
  [ 12  35  19]]]",53,Male,Male,43,sad,Male,happy,49
"[[[238 228 226]
  [238 228 226]
  [238 228 226]
  ...
  [144  90  54]
  [143  89  53]
  [142  88  52]]

 [[238 228 226]
  [237 227 225]
  [237 227 225]
  ...
  [144  90  54]
  [144  90  54]
  [143  89  53]]

 [[236 226 224]
  [236 226 224]
  [236 226 224]
  ...
  [146  92  54]
  [145  91  55]
  [144  90  54]]

 ...

 [[246 251 255]
  [246 251 255]
  [244 252 254]
  ...
  [127 150 142]
  [130 151 144]
  [132 152 143]]

 [[246 251 255]
  [246 251 255]
  [244 252 254]
  ...
  [135 158 150]
  [137 158 151]
  [139 160 151]]

 [[246 251 255]
  [246 251 255]
  [244 252 254]
  ...
  [138 164 155]
  [143 164 157]
  [145 166 157]]]",1,Female,Male,0,surprise,Male,fear,25
"[[[111  95  95]
  [111  95  95]
  [111  95  95]
  ...
  [ 69  40  26]
  [ 61  32  18]
  [ 54  26  12]]

 [[111  95  95]
  [111  95  95]
  [111  95  95]
  ...
  [ 69  40  26]
  [ 61  32  18]
  [ 55  27  13]]

 [[111  95  95]
  [111  95  95]
  [111  95  95]
  ...
  [ 68  39  25]
  [ 61  32  18]
  [ 55  27  13]]

 ...

 [[109  99 100]
  [109  99 100]
  [109  99 100]
  ...
  [205 204 220]
  [204 205 223]
  [204 205 223]]

 [[110  99 103]
  [109  98 102]
  [108  97 101]
  ...
  [204 206 221]
  [207 208 226]
  [208 211 230]]

 [[110  99 103]
  [109  98 102]
  [107  96 100]
  ...
  [206 208 223]
  [209 212 231]
  [212 215 234]]]",55,Male,Male,39,sad,Male,neutral,35
"[[[169 140 136]
  [170 141 137]
  [172 143 139]
  ...
  [199 161 158]
  [199 161 158]
  [199 161 158]]

 [[169 140 136]
  [170 141 137]
  [172 143 139]
  ...
  [199 161 158]
  [199 161 158]
  [199 161 158]]

 [[169 140 136]
  [170 141 137]
  [172 143 139]
  ...
  [199 161 158]
  [199 161 158]
  [199 161 158]]

 ...

 [[225 223 234]
  [223 223 233]
  [224 222 233]
  ...
  [176 181 213]
  [169 174 206]
  [165 170 202]]

 [[223 223 233]
  [222 225 234]
  [225 225 235]
  ...
  [170 174 209]
  [163 167 202]
  [158 162 197]]

 [[219 222 231]
  [220 223 232]
  [222 225 234]
  ...
  [165 169 204]
  [158 162 199]
  [153 157 194]]]",1,Male,Male,0,neutral,Male,sad,24
"[[[254 244 242]
  [241 231 229]
  [236 225 223]
  ...
  [249 249 249]
  [249 249 249]
  [249 249 249]]

 [[249 239 237]
  [235 225 223]
  [229 218 216]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 [[242 232 230]
  [226 216 214]
  [217 206 204]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 ...

 [[253 251 252]
  [253 251 252]
  [252 252 252]
  ...
  [250 252 251]
  [250 252 251]
  [250 252 251]]

 [[253 251 252]
  [253 251 252]
  [252 252 252]
  ...
  [250 252 251]
  [250 252 251]
  [250 252 251]]

 [[253 251 252]
  [253 251 252]
  [252 252 252]
  ...
  [250 252 251]
  [250 252 251]
  [250 252 251]]]",36,Male,Male,38,sad,Male,happy,25
"[[[245 248 241]
  [245 248 241]
  [245 248 241]
  ...
  [ 38  39  33]
  [ 39  40  34]
  [ 38  39  33]]

 [[248 251 244]
  [248 251 244]
  [248 251 244]
  ...
  [ 41  42  36]
  [ 42  43  37]
  [ 41  42  36]]

 [[248 251 244]
  [248 251 244]
  [247 250 243]
  ...
  [ 44  45  39]
  [ 45  46  40]
  [ 45  46  40]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 73  52  51]
  [ 68  49  51]
  [ 71  55  58]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 70  52  52]
  [ 69  53  56]
  [ 76  61  66]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 67  51  51]
  [ 73  56  62]
  [ 84  69  76]]]",23,Male,Male,20,sad,Male,neutral,24
"[[[206 190 175]
  [193 177 162]
  [181 163 149]
  ...
  [ 48  28  27]
  [ 49  29  28]
  [ 50  30  29]]

 [[204 188 173]
  [192 176 161]
  [181 163 149]
  ...
  [ 47  27  26]
  [ 47  27  26]
  [ 47  27  26]]

 [[200 184 169]
  [190 174 159]
  [181 163 149]
  ...
  [ 47  27  26]
  [ 46  26  25]
  [ 45  25  24]]

 ...

 [[ 28  27  23]
  [ 30  29  25]
  [ 32  31  27]
  ...
  [238 229 220]
  [242 233 224]
  [245 236 227]]

 [[ 27  26  22]
  [ 30  29  25]
  [ 31  30  26]
  ...
  [240 231 222]
  [242 233 224]
  [244 235 226]]

 [[ 25  24  20]
  [ 29  28  24]
  [ 31  30  26]
  ...
  [241 232 223]
  [242 233 224]
  [243 234 225]]]",73,Male,Male,73,neutral,Male,angry,32
"[[[137  46 103]
  [143  50 107]
  [146  51 109]
  ...
  [129 114 107]
  [123 108 101]
  [125 110 103]]

 [[138  47 104]
  [143  50 107]
  [147  52 110]
  ...
  [132 117 110]
  [125 110 103]
  [123 108 101]]

 [[139  48 105]
  [144  51 108]
  [147  52 110]
  ...
  [134 120 111]
  [128 111 103]
  [124 107  99]]

 ...

 [[ 67  27  53]
  [ 59  21  44]
  [ 48  15  36]
  ...
  [ 21  20  25]
  [ 19  18  23]
  [ 24  23  28]]

 [[ 40  11  31]
  [ 38  11  28]
  [ 34  10  26]
  ...
  [ 21  20  25]
  [ 19  18  23]
  [ 24  23  28]]

 [[ 36  12  28]
  [ 34  11  27]
  [ 31  11  23]
  ...
  [ 21  20  25]
  [ 19  18  23]
  [ 25  24  29]]]",65,Male,Male,61,neutral,Male,neutral,44
"[[[ 93 107  74]
  [ 90 104  71]
  [ 87 101  68]
  ...
  [ 20  30  22]
  [ 21  28  21]
  [ 20  27  20]]

 [[ 93 107  74]
  [ 90 104  71]
  [ 86 100  67]
  ...
  [ 20  30  22]
  [ 21  28  21]
  [ 20  27  20]]

 [[ 91 106  73]
  [ 89 104  71]
  [ 85 100  67]
  ...
  [ 20  30  22]
  [ 20  27  20]
  [ 20  27  20]]

 ...

 [[ 46  64  38]
  [ 47  65  39]
  [ 48  66  42]
  ...
  [166 169 176]
  [168 171 178]
  [170 173 180]]

 [[ 40  58  34]
  [ 41  59  35]
  [ 42  60  36]
  ...
  [167 167 175]
  [168 168 176]
  [169 169 177]]

 [[ 36  54  30]
  [ 37  55  31]
  [ 38  56  32]
  ...
  [166 166 174]
  [167 167 175]
  [167 167 175]]]",9,Female,Male,15,sad,Male,neutral,32
"[[[ 25 138 172]
  [ 24 137 171]
  [ 22 134 172]
  ...
  [ 18 154 196]
  [ 14 152 199]
  [ 10 150 199]]

 [[ 23 137 171]
  [ 23 137 173]
  [ 22 136 173]
  ...
  [ 18 154 196]
  [ 13 151 198]
  [  9 149 198]]

 [[ 21 138 173]
  [ 21 138 173]
  [ 20 136 173]
  ...
  [ 19 152 193]
  [ 12 149 195]
  [ 10 148 195]]

 ...

 [[ 37 149 186]
  [ 41 149 185]
  [ 41 145 180]
  ...
  [ 43 184 214]
  [ 38 185 219]
  [ 33 183 218]]

 [[ 36 145 184]
  [ 40 148 186]
  [ 39 141 179]
  ...
  [ 50 185 215]
  [ 41 184 218]
  [ 34 181 215]]

 [[ 32 141 180]
  [ 38 146 184]
  [ 38 137 176]
  ...
  [ 55 189 218]
  [ 47 187 220]
  [ 39 183 217]]]",46,Female,Female,42,neutral,Male,fear,30
"[[[ 81  54  35]
  [ 80  53  34]
  [ 79  51  30]
  ...
  [234 230 229]
  [227 225 228]
  [228 228 230]]

 [[ 76  49  30]
  [ 77  50  31]
  [ 77  49  28]
  ...
  [231 227 226]
  [225 223 224]
  [227 227 229]]

 [[ 70  43  24]
  [ 73  46  27]
  [ 75  46  28]
  ...
  [227 223 222]
  [223 221 222]
  [227 227 229]]

 ...

 [[205 145 108]
  [204 144 107]
  [204 144 107]
  ...
  [156  55  63]
  [157  60  67]
  [164  69  75]]

 [[205 145 108]
  [205 145 108]
  [204 144 107]
  ...
  [164  50  58]
  [160  51  57]
  [160  53  59]]

 [[205 145 108]
  [205 145 108]
  [205 145 108]
  ...
  [168  48  57]
  [162  47  54]
  [162  49  55]]]",26,Female,Female,36,sad,Female,happy,35
